Hostname,IP Address,Status
LO-PRD-DBNONBILL.mdw.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMWEB2.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
LO-DR-SHR-WSCICD01.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRD-UMENG005.momo.yas.tg,Not found or domain doesn't exist,Not Resolved
prp01-db1.ws.togocom.tg,10.228.15.100; 10.228.19.20,Resolved
ca-prd-cms-rtp-02.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMENG18.MOMO.TOGOCOM.TG,Not found or domain doesn't exist,Not Resolved
CA-PRD-OPA-TRANSDB.yas.tg,Not found or domain doesn't exist,Not Resolved
lo-uat-sync-db01.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-RA-ANALYS-APP.TOGOCOM.INT,10.228.15.100; 10.228.14.68,Resolved
CA-HAPROXYSHR.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRP-WSLB.ws.togocom.tg,10.228.15.100; 10.228.19.42,Resolved
test-db02.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-BACKEND-DB01.togocom.tg,10.228.15.100; 10.228.15.37,Resolved
CA-FILE-NETACT-DP01.togocom.tg,10.228.15.100; 10.228.32.17,Resolved
LO-PRD-UMCON013.momo.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-BSSOSS-DB-01.togocom.tg,10.228.15.100; 10.228.12.30,Resolved
cbdb-datanode05.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-prp-wsdbe02.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-DEV-CARBONLOGS01.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-ra01-clone.togocom.tg,Not found or domain doesn't exist,Not Resolved
lo-kurve-db-clone.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRP-WSPGSQL02.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
ns02.togocom.tg,10.228.15.100; 10.228.40.209,Resolved
CA-PRD-REIS-APP.yas.tg,10.228.15.100; 10.228.10.100,Resolved
ca-support-tmoney.togocom.tg,10.228.15.100; 10.228.40.100,Resolved
LO-PRP-SENT-NFS.yas.tg,Not found or domain doesn't exist,Not Resolved
